date,ticker,sentiment_mean,sentiment_std,message_count,stocktwits_count,newsapi_count,source
2026-03-03,NVDA,0.1146447272804393,0.5480861829558934,932.0,932,0.0,stocktwits
2026-03-03,TSLA,-0.0069904084164363,0.5892985486755117,671.0,671,0.0,stocktwits
2026-03-04,AAPL,-0.014447749196637,0.5683678242134296,273.0,273,0.0,stocktwits
2026-03-04,AMZN,0.2002018681386791,0.5229899437204771,268.0,268,0.0,stocktwits
2026-03-04,NVDA,0.1518018804339201,0.5360593619375523,946.0,946,0.0,stocktwits
2026-03-04,TSLA,0.0391852700099652,0.5480136514077851,934.0,934,0.0,stocktwits
2026-03-05,AAPL,-0.0028869630201659,0.5671563184273151,353.0,353,0.0,stocktwits
2026-03-05,AMZN,0.1094953237253281,0.513950472062602,230.0,230,0.0,stocktwits
2026-03-05,NVDA,0.058265793880419,0.5751314067482677,1071.0,1071,0.0,stocktwits
2026-03-05,TSLA,-0.0180063249471525,0.5576493231629676,626.0,626,0.0,stocktwits
2026-03-06,AAPL,0.0084194386023472,0.5628500494440606,268.0,268,0.0,stocktwits
2026-03-06,AMZN,0.0974097801237824,0.5451204057214454,173.0,173,0.0,stocktwits
2026-03-06,NVDA,-0.0053637609640005,0.5593278556423458,1065.0,1065,0.0,stocktwits
2026-03-06,TSLA,0.0530713685435716,0.5185032358701187,716.0,716,0.0,stocktwits
2026-03-07,AAPL,0.0329582693669548,0.5967429140818916,47.0,47,0.0,stocktwits
2026-03-07,AMZN,0.0108462420508398,0.588358113580833,56.0,56,0.0,stocktwits
2026-03-07,NVDA,0.0026771307979558,0.4726331924903614,263.0,263,0.0,stocktwits
2026-03-07,TSLA,-0.1047354741622371,0.5226481895691453,159.0,159,0.0,stocktwits
2026-03-08,AAPL,-0.0261475838388183,0.5605575570771985,70.0,70,0.0,stocktwits
2026-03-08,AMZN,0.0412441395164933,0.5261418345193719,32.0,32,0.0,stocktwits
2026-03-08,NVDA,0.0600729022830914,0.4554677211911377,333.0,333,0.0,stocktwits
2026-03-08,TSLA,-0.0764184829160798,0.5146664178244077,229.0,229,0.0,stocktwits
2026-03-09,AAPL,0.0217808912110792,0.5569650699229705,191.0,191,0.0,stocktwits
2026-03-09,AMZN,0.1096122356398996,0.5054566207916008,135.0,135,0.0,stocktwits
2026-03-09,NVDA,0.1374630488974687,0.5177582071381963,884.0,884,0.0,stocktwits
2026-03-09,TSLA,-0.0303355211598363,0.5735241319049856,887.0,887,0.0,stocktwits
2026-03-10,AAPL,0.0754959597424982,0.5432437894446238,209.0,209,0.0,stocktwits
2026-03-10,AMZN,0.1379883243821393,0.5417056835003565,133.0,133,0.0,stocktwits
2026-03-10,NVDA,0.1511053767166525,0.538914422771872,902.0,902,0.0,stocktwits
2026-03-10,TSLA,0.09211407329383,0.5729354239126114,605.0,605,0.0,stocktwits
2026-03-11,AAPL,0.0385590228078574,0.5271829959959677,161.0,161,0.0,stocktwits
2026-03-11,AMZN,0.111493513660348,0.54689390682307,142.0,142,0.0,stocktwits
2026-03-11,NVDA,0.1170498042787441,0.5369787396448699,786.0,786,0.0,stocktwits
2026-03-11,TSLA,0.0733316000106353,0.5625609190690705,775.0,775,0.0,stocktwits
2026-03-12,AAPL,-0.0849968960377363,0.5519234744059494,195.0,195,0.0,stocktwits
2026-03-12,AMZN,0.0511566372104857,0.5595829516064291,118.0,118,0.0,stocktwits
2026-03-12,NVDA,0.0863548142458983,0.5544761426375658,666.0,666,0.0,stocktwits
2026-03-12,TSLA,-0.0104359599318718,0.5600343775824055,902.0,902,0.0,stocktwits
2026-03-13,AAPL,-0.0845875188258166,0.5739932290931795,300.0,300,0.0,stocktwits
2026-03-13,AMZN,-0.046139897218112,0.5345988764765465,135.0,135,0.0,stocktwits
2026-03-13,NVDA,0.0466496169083257,0.5326261341802809,896.0,896,0.0,stocktwits
2026-03-13,TSLA,-0.0449321462564994,0.5696772330447091,809.0,809,0.0,stocktwits
2026-03-14,AAPL,0.1565113213741117,0.5667482541706703,45.0,45,0.0,stocktwits
2026-03-14,AMZN,0.1343152557706667,0.4245305563251179,36.0,36,0.0,stocktwits
2026-03-14,NVDA,0.1201467255703444,0.4930707957789495,206.0,206,0.0,stocktwits
2026-03-14,TSLA,-0.1158959903821761,0.5555684698526802,176.0,176,0.0,stocktwits
2026-03-15,AAPL,0.014111581996881558,0.2956378427787623,44.0,42,2.0,combined
2026-03-15,AMZN,-0.0093850299691487,0.5370495425325151,19.0,19,0.0,stocktwits
2026-03-15,NVDA,0.14574016642974177,0.3009211570499252,249.0,226,23.0,combined
2026-03-15,TSLA,0.22999117630876617,0.36482413846108847,201.0,197,4.0,combined
2026-03-16,AAPL,0.035703954347288,0.3514764585207621,140.0,127,13.0,combined
2026-03-16,AMZN,0.1698406398370862,0.4791165638655981,125.0,125,0.0,stocktwits
2026-03-16,NVDA,0.17692371969054205,0.356905233202349,1995.0,1897,98.0,combined
2026-03-16,TSLA,-0.016075318082285607,0.37684307502696773,733.0,729,4.0,combined
2026-03-17,AAPL,-0.03468799442179549,0.36093365200096184,153.0,147,6.0,combined
